------------------------------------------------------------------------------------------------------
********************************************原始数据信息**********************************************
------------------------------------------------------------------------------------------------------

300节点系统的计算结果如下：
最大允许迭代次数：30
计算精度：1e-05
节点数   线路支路数   变压器支路数    发动机个数   负荷个数
  300         304          107             69          266
<----------------------------------------------线路数据---------------------------------------------->

i    j    R                 X                 B/2               
266  270  0.00080000     0.00348000     0.00000000
271  272  0.05558000     0.24666000     0.00000000
271  268  0.11118000     0.49332000     0.00000000
271  268  0.11118000     0.49332000     0.00000000
273  267  0.07622000     0.43286000     0.00000000
273  267  0.07622000     0.43286000     0.00000000
267  274  0.05370000     0.07026000     0.00000000
274  276  1.10680000     0.95278000     0.00000000
272  268  0.05580000     0.24666000     0.00000000
268  291  0.07378000     0.06352000     0.00000000
291  269  0.03832000     0.02894000     0.00000000
273  299  0.23552000     0.99036000     0.00000000
1    5    0.00100000     0.00600000     0.00000000
2    6    0.00100000     0.00900000     0.00000000
2    8    0.00600000     0.02700000     0.02700000
3    7    0.00000000     0.00300000     0.00000000
3    18   0.00800000     0.06900000     0.06950000
3    129  0.00100000     0.00700000     0.00000000
4    16   0.00200000     0.01900000     0.56350000
5    9    0.00600000     0.02900000     0.00900000
7    12   0.00100000     0.00900000     0.03500000
7    110  0.00100000     0.00700000     0.00700000
8    11   0.01300000     0.05950000     0.01650000
8    14   0.01300000     0.04200000     0.04050000
9    11   0.00600000     0.02700000     0.00650000
11   13   0.00800000     0.03400000     0.00900000
12   20   0.00200000     0.01500000     0.05900000
13   19   0.00600000     0.03400000     0.00800000
14   15   0.01400000     0.04200000     0.04850000
15   31   0.06500000     0.24800000     0.06050000
15   74   0.09900000     0.24800000     0.01750000
15   75   0.09600000     0.36300000     0.02400000
16   36   0.00200000     0.02200000     0.64000000
18   20   0.00200000     0.01800000     0.01800000
18   72   0.01300000     0.08000000     0.07550000
19   21   0.01600000     0.03300000     0.00750000
19   26   0.06900000     0.18600000     0.04900000
20   23   0.00400000     0.03400000     0.14000000
21   22   0.05200000     0.11100000     0.02500000
22   24   0.01900000     0.03900000     0.00900000
23   231  0.00700000     0.06800000     0.06700000
24   25   0.03600000     0.07100000     0.01700000
25   26   0.04500000     0.12000000     0.03250000
25   232  0.04300000     0.13000000     0.00700000
27   28   0.00000000     0.06300000     0.00000000
27   32   0.00250000     0.01200000     0.00650000
27   34   0.00600000     0.02900000     0.01000000
27   35   0.00700000     0.04300000     0.01300000
28   36   0.00100000     0.00800000     0.02100000
29   60   0.01200000     0.06000000     0.00400000
29   63   0.00600000     0.01400000     0.00100000
29   64   0.01000000     0.02900000     0.00150000
30   73   0.00400000     0.02700000     0.02150000
31   32   0.00800000     0.04700000     0.00400000
31   34   0.02200000     0.06400000     0.00350000
31   35   0.01000000     0.03600000     0.01000000
31   43   0.01700000     0.08100000     0.02400000
31   74   0.10200000     0.25400000     0.01650000
31   75   0.04700000     0.12700000     0.00800000
32   35   0.00800000     0.03700000     0.01000000
32   37   0.03200000     0.08700000     0.02000000
33   36   0.00060000     0.00640000     0.20200000
34   42   0.02600000     0.15400000     0.01100000
35   36   0.00000000     0.02900000     0.00000000
35   43   0.06500000     0.19100000     0.01000000
35   44   0.03100000     0.08900000     0.01800000
36   40   0.00200000     0.01400000     0.40300000
37   38   0.02600000     0.07200000     0.01750000
37   42   0.09500000     0.26200000     0.01600000
37   46   0.01300000     0.03900000     0.00800000
38   41   0.02700000     0.08400000     0.01950000
38   47   0.02800000     0.08400000     0.01850000
39   52   0.00700000     0.04100000     0.15600000
39   62   0.00900000     0.05400000     0.20550000
40   68   0.00500000     0.04200000     0.34500000
41   61   0.05200000     0.14500000     0.03650000
41   92   0.04300000     0.11800000     0.00650000
42   87   0.02500000     0.06200000     0.00350000
43   44   0.03100000     0.09400000     0.02150000
44   45   0.03700000     0.10900000     0.02450000
45   48   0.02700000     0.08000000     0.01800000
46   47   0.02500000     0.07300000     0.01750000
47   48   0.03500000     0.10300000     0.02350000
48   49   0.06500000     0.16900000     0.04100000
49   50   0.04600000     0.08000000     0.01800000
49   55   0.15900000     0.53700000     0.03550000
50   51   0.00900000     0.02600000     0.00250000
51   53   0.00200000     0.01300000     0.00750000
52   54   0.00900000     0.06500000     0.24250000
54   56   0.01600000     0.10500000     0.10150000
54   123  0.00100000     0.00700000     0.00650000
55   236  0.02650000     0.17200000     0.01300000
57   190  0.05100000     0.23200000     0.01400000
57   66   0.05100000     0.15700000     0.01150000
58   59   0.03200000     0.10000000     0.03100000
58   237  0.02000000     0.12340000     0.01400000
59   60   0.03600000     0.13100000     0.03400000
59   61   0.03400000     0.09900000     0.02350000
60   64   0.01800000     0.08700000     0.00550000
60   238  0.02560000     0.19300000     0.00000000
61   63   0.02100000     0.05700000     0.01500000
61   66   0.01800000     0.05200000     0.00900000
62   73   0.00400000     0.02700000     0.02500000
62   240  0.02860000     0.20130000     0.18950000
63   64   0.01600000     0.04300000     0.00200000
64   65   0.00100000     0.00600000     0.00350000
64   67   0.01400000     0.07000000     0.01900000
64   239  0.08910000     0.26760000     0.01450000
