30   1e-5  300  304   107   69   266

266	270	0.0008	0.00348	0
271	272	0.05558	0.24666	0
271	268	0.11118	0.49332	0
271	268	0.11118	0.49332	0
273	267	0.07622	0.43286	0
273	267	0.07622	0.43286	0
267	274	0.0537	0.07026	0
274	276	1.1068	0.95278	0
272	268	0.0558	0.24666	0
268	291	0.07378	0.06352	0
291	269	0.03832	0.02894	0
273	299	0.23552	0.99036	0
1	5	0.001	0.006	0
2	6	0.001	0.009	0
2	8	0.006	0.027	0.027
3	7	0	0.003	0
3	18	0.008	0.069	0.0695
3	129	0.001	0.007	0
4	16	0.002	0.019	0.5635
5	9	0.006	0.029	0.009
7	12	0.001	0.009	0.035
7	110	0.001	0.007	0.007
8	11	0.013	0.0595	0.0165
8	14	0.013	0.042	0.0405
9	11	0.006	0.027	0.0065
11	13	0.008	0.034	0.009
12	20	0.002	0.015	0.059
13	19	0.006	0.034	0.008
14	15	0.014	0.042	0.0485
15	31	0.065	0.248	0.0605
15	74	0.099	0.248	0.0175
15	75	0.096	0.363	0.024
16	36	0.002	0.022	0.64
18	20	0.002	0.018	0.018
18	72	0.013	0.08	0.0755
19	21	0.016	0.033	0.0075
19	26	0.069	0.186	0.049
20	23	0.004	0.034	0.14
21	22	0.052	0.111	0.025
22	24	0.019	0.039	0.009
23	231	0.007	0.068	0.067
24	25	0.036	0.071	0.017
25	26	0.045	0.12	0.0325
25	232	0.043	0.13	0.007
27	28	0	0.063	0
27	32	0.0025	0.012	0.0065
27	34	0.006	0.029	0.01
27	35	0.007	0.043	0.013
28	36	0.001	0.008	0.021
29	60	0.012	0.06	0.004
29	63	0.006	0.014	0.001
29	64	0.01	0.029	0.0015
30	73	0.004	0.027	0.0215
31	32	0.008	0.047	0.004
31	34	0.022	0.064	0.0035
31	35	0.01	0.036	0.01
31	43	0.017	0.081	0.024
31	74	0.102	0.254	0.0165
31	75	0.047	0.127	0.008
32	35	0.008	0.037	0.01
32	37	0.032	0.087	0.02
33	36	0.0006	0.0064	0.202
34	42	0.026	0.154	0.011
35	36	0	0.029	0
35	43	0.065	0.191	0.01
35	44	0.031	0.089	0.018
36	40	0.002	0.014	0.403
37	38	0.026	0.072	0.0175
37	42	0.095	0.262	0.016
37	46	0.013	0.039	0.008
38	41	0.027	0.084	0.0195
38	47	0.028	0.084	0.0185
39	52	0.007	0.041	0.156
39	62	0.009	0.054	0.2055
40	68	0.005	0.042	0.345
41	61	0.052	0.145	0.0365
41	92	0.043	0.118	0.0065
42	87	0.025	0.062	0.0035
43	44	0.031	0.094	0.0215
44	45	0.037	0.109	0.0245
45	48	0.027	0.08	0.018
46	47	0.025	0.073	0.0175
47	48	0.035	0.103	0.0235
48	49	0.065	0.169	0.041
49	50	0.046	0.08	0.018
49	55	0.159	0.537	0.0355
50	51	0.009	0.026	0.0025
51	53	0.002	0.013	0.0075
52	54	0.009	0.065	0.2425
54	56	0.016	0.105	0.1015
54	123	0.001	0.007	0.0065
55	236	0.0265	0.172	0.013
57	190	0.051	0.232	0.014
57	66	0.051	0.157	0.0115
